cent_latitude,cent_longitude,clust_size
40.71771639727507,-73.9918354198967,12506
33.44943805020126,-112.00213969017547,4692
33.44638027037988,-111.90188756212359,3994
41.87824377967115,-87.62984336226329,3363
37.68868157406161,-122.40933037359147,3526
38.8861652155993,-77.04878333074303,2409
33.357344562325096,-111.82265410760392,2297
33.76663623218336,-84.39328918481657,1601
42.363218639848895,-71.07368760857386,1526
47.60624471741767,-122.33204382627093,1378
36.117229142990276,-115.17107342280688,1298
34.06039755458241,-118.24870902659876,1081
44.97794782033687,-93.2673008852605,1006
30.26718361698159,-97.74311928133027,1007
40.76687624004166,-73.83335349045205,714
39.735830152625304,-104.98658042770822,868
39.95168037300773,-75.16273592391683,870
34.03548695312116,-118.43899771946148,645
32.98089338217789,-117.07811797821928,808
32.80302053531547,-96.76989743494408,807
37.34787114392445,-121.9472872235438,612
28.543501546632914,-81.37642862287088,722
32.71134443394278,-117.15363874791043,754
32.2217131518074,-110.92653515261165,747
34.12740221911527,-118.35188372510652,539
29.762697754725156,-95.3823137047244,656
43.040532816770465,-87.91433256599365,580
33.81730643390889,-117.891249170958,577
37.390292432025845,-122.0872864361108,679
25.7858124199675,-80.2179380368254,564
45.523483214646724,-122.67628042137935,594
33.56973460352672,-112.31401583827702,907
33.67430265976576,-117.85878926777275,449
-6.2127666563850035,106.84465981237784,502
27.94944607964624,-82.4650735999998,452
34.160210384964344,-118.22361657326915,104
39.10009487559828,-94.5824387016742,431
35.22726338097585,-80.84318161707374,410
43.65295022190731,-79.38260886984479,388
37.793142220000135,-122.26638327200024,400
39.996832405120884,-82.99995493315389,369
39.768450280601215,-86.15824943415348,367
33.87298601157018,-118.36209114655645,384
47.645224584013214,-122.16867481595776,347
39.28625030782621,-76.61466929101515,345
34.04892809999974,-111.09373110000084,342
40.439174644478236,-79.9956503328221,314
34.13146014917951,-118.11801180610205,273
40.766668319314654,-74.19249554890972,314
37.543724937380205,-122.30230856198074,316
33.65089599288026,-117.75207397281613,355
33.8098779552631,-118.14892380690813,281
40.87014826075197,-73.85938863991156,336
41.48748453037534,-81.70746926211562,271
29.42491663242302,-98.49362410785047,293
26.120862658633104,-80.1589066802157,246
35.77131422276117,-78.63671409664157,263
38.645525337999786,-90.22935878999974,258
51.502991260887086,-0.12553728870967767,254
44.962034067796594,-93.11910779660994,243
38.58153308777307,-121.49565145676871,229
40.70807102398186,-73.58440031945706,291
38.98522152361123,-77.40597233611103,182
38.86832041904759,-77.24339935619022,155
34.091297534634215,-117.98038945268247,137
40.759599954773876,-111.89607777939733,186
39.1285678085426,-84.50309269949756,193
37.54294466903543,-77.4685887934008,197
36.164203997959305,-86.78143980816328,196
49.24017197830703,-123.11186022275179,191
35.20135159999994,-111.63924899999985,189
40.014985599999875,-105.27054560000026,187
39.005656549197866,-77.1265309818182,203
32.877584059358334,-97.01473146898432,178
40.984718398888894,-73.77423909722225,192
34.06188557374307,-117.67178457765387,169
41.25352750000007,-95.9993827781608,173
40.48887518959529,-74.42261149017344,153
29.966228185964944,-90.07729902046758,157
42.06520071333328,-87.80762188000004,220
41.854356500605974,-87.85689994848495,199
37.69303367865858,-122.09784477804868,164
44.8847971196319,-93.32703229141113,162
40.72580963935479,-74.29919603935461,126
30.33264489161299,-81.65430532774165,155
43.07283789473695,-89.39990342236815,152
40.62422883287678,-74.22584933904119,56
33.8883253427586,-118.04892817172427,100
42.89993612569448,-78.87341406805545,141
38.98589733661966,-94.67220204366218,142
34.19818207092195,-118.54927680780146,190
33.01182339432621,-96.70158661914896,117
26.010098249285683,-80.19999058571432,138
40.60991858814826,-74.11949520888906,135
34.056012232592614,-84.31689027259254,133
43.16220163893142,-77.61107258473298,131
33.96804695419846,-84.5680670755724,134
43.0488843868217,-76.14517626356594,122
42.331551719531305,-83.04453524062487,130
36.08379277054309,-86.6505529157627,132
34.075078825600066,-117.81647188640012,109
42.95810022338701,-85.66805423709685,135
28.640402699999978,-81.3438759162601,135
-0.30122619999999967,36.52296410000003,120
35.14953430000005,-90.04898010000016,119
-23.549518346153803,-46.638218881196636,116
42.48118989224136,-83.16129892241365,110
47.4525996504349,-122.2593132208696,91
38.25346141491227,-85.75942131403494,114
37.5911196289474,-122.0207348359649,79
19.430324425438563,-99.14107183421046,114
39.0943562258928,-77.17691474999994,98
37.93503947767865,-122.52404823482166,112
42.069406181818216,-88.00480022727265,67
39.923851567272756,-74.9900514081818,74
35.78910416727279,-78.80416963999997,110
41.78755155046738,-88.13076373831785,126
42.27103333113213,-83.72662352924547,106
41.05086818301895,-73.54851961415088,110
33.98393587403844,-118.00740497307689,74
40.06552463300965,-74.39430641553406,103
36.033668999999946,-115.00236399999996,102
36.77826099999996,-119.41793239999983,101
32.72607049600001,-97.32101128200003,100
28.39950740700002,-81.53741104899999,85
42.28367924343434,-85.58616455252536,99
44.87394484489789,-93.48111789693866,72
39.10196142653063,-76.64161297040829,99
33.180450702040865,-117.36769176734687,118
45.506305283505114,-73.55965378247407,98
42.51691315154646,-83.31173525360832,27
40.05547609896905,-75.33351810000008,84
27.779155250515483,-82.64753711855678,95
39.97651584270831,-86.05148145833341,99
35.46854261789481,-97.51679603999979,95
41.597101410638324,-93.72645914787229,97
37.915907800000014,-122.06076017311827,97
33.2362374706522,-111.62403149782597,92
32.78430573736261,-79.9205039857143,91
43.00218064888885,-88.0143771766668,103
40.81356674888893,-74.43149605333346,71
42.314925124719096,-83.41802047865167,95
39.618795439080515,-104.9938543114944,87
34.39317987441864,-118.5424772569766,99
26.35257116627905,-80.085278717442,95
38.95160293647055,-92.33439649294115,85
33.99977334235298,-84.15205565058821,33
32.88162144761907,-97.18290859642853,121
32.7835604940476,-97.12318197499994,65
42.00904088554218,-88.09617232771085,78
30.441642560241,-84.2858799457833,83
35.99403290000005,-78.89861899999988,81
40.724220581012695,-73.40003738481009,101
39.854933112658166,-105.03830419493657,61
38.5273511227848,-90.38105192025311,79
35.91300619493676,-79.05707519620246,79
-6.913102101265831,107.60774275949373,79
39.529835911538406,-119.81145215769251,78
39.0824626948718,-77.52544363076923,84
26.20058464102565,-80.25071612564099,42
1.3508366025641,103.82022041282038,78
41.135089724675325,-73.34649909220784,57
33.92431521038961,-84.27900946753229,68
45.048677490789466,-93.40395351315794,74
39.85636094473685,-75.11196706578933,63
35.08449090000005,-106.6511367000001,76
32.7937055631579,-116.98787850263149,76
25.70534972105258,-80.28342873815798,80
40.291521692,-74.68239279599993,56
40.28806506533331,-74.0249913093333,52
43.58706659729737,-116.1958639837836,74
40.5858157527027,-105.08514374054062,74
21.305570864864876,-157.85681728378387,74
40.53299666438359,-74.29595137945206,51
31.75871980000006,-106.48693139999983,73
37.684648659154874,-121.90359639577451,71
33.13691896901411,-96.84826837746466,76
42.73284661857144,-84.53367694428556,77
42.6269734214285,-83.1985474842857,69
42.32737153913048,-71.36285074782604,78
38.833881600000026,-104.82136340000012,69
33.01823688260866,-117.28299397826089,69
40.80745445882348,-96.68141625000004,68
40.14561193970583,-75.28321337205887,44
37.09024,-95.71289100000007,68
41.29770560597012,-72.95414562985084,50
36.81158212238808,-76.2845886343283,67
33.788832247761185,-84.26754498955219,67
48.8577655469697,2.3457983651515137,66
41.600321898484886,-93.60765108484861,65
33.05810629999998,-112.04764229999999,66
40.14840974218748,-74.04873530312497,59
40.01223260156246,-74.93187819375001,36
39.72943189999996,-104.8319195000001,64
39.21151927656246,-76.85037377499998,53
42.45466108095237,-83.42359858253961,63
41.0942622015873,-81.5066809650794,54
36.85292630000002,-75.97798500000007,63
33.95567922857139,-83.3815783428572,63
41.13075639677421,-73.99961724354837,84
39.34761036129037,-76.77220048709684,43
33.16220987741931,-96.64954858064513,62
44.886974614754116,-92.97031761803271,61
41.822486137704914,-71.40810602295092,61
35.96349356393436,-83.91712750983599,61
33.13069531639346,-117.12432252622948,61
47.34608157000004,-122.26901950000004,58
41.681168358333366,-86.23894422333348,60
40.41024026271187,-74.24711956610169,24
40.35423095084746,-74.11567474576275,46
13.73101117118644,100.51336204745765,50
-6.3146981152542345,106.81315175593215,56
44.78208702413788,-93.18367249655172,58
35.68000562241379,139.70605629137927,58
44.051762105263144,-123.08334703684199,57
41.79500354912276,-72.69092316140353,58
34.85256733333336,-82.39203350877189,57
43.66161485357138,-70.25431398214293,56
41.45170499285714,-81.84819700714293,48
39.975351960714285,-105.09324142678572,56
